condition,seed,generation,drift,viable,ULVI,Q_E,Q_P,Q_C,Q_F,Q_S,acc_clean,mean_len,alpha,rho_estimate,first_nonviable_generation
uvif_full,0,0,0.4765625,False,0.5601998157411718,0.5872168017528614,0.5580642000794758,0.6720597892999649,0.4785853794642857,0.5234375,0.395263671875,4.64990234375,0.975347241992501,,
uvif_full,0,1,0.421875,False,0.5745816873545219,0.563683755753529,0.540125049931156,0.6928033791482449,0.5135672433035714,0.578125,0.3912353515625,4.405029296875,0.9868744386905164,,
uvif_full,0,2,0.40625,False,0.5766507020766243,0.5518765050860122,0.5235803650419737,0.6729381754994392,0.5522809709821428,0.59375,0.3260498046875,4.134033203125,1.1408650245614824,,
uvif_full,0,3,0.3125,False,0.594992614116905,0.5664937865168694,0.5346466199834367,0.6717624738812447,0.5330984933035714,0.6875,0.3226318359375,4.268310546875,1.1032574396115993,,
uvif_full,0,4,0.296875,False,0.5998532297654798,0.5704472350521116,0.5403492068599469,0.6680859848856926,0.536376953125,0.703125,0.3748779296875,4.245361328125,1.0930149586005664,,
uvif_full,0,5,0.65234375,False,0.5163811159970958,0.5615017916486847,0.5306416282586551,0.6402681618928909,0.5535888671875,0.34765625,0.3541259765625,4.1248779296875,1.1256762520248793,,
uvif_full,0,6,0.2890625,False,0.5906687373996733,0.5355880695869505,0.507816091884276,0.6504545211791992,0.5716552734375,0.7109375,0.373291015625,3.9984130859375,1.121960709092617,,
uvif_full,0,7,0.42578125,False,0.5415794740900519,0.4936094081895746,0.47183276878151703,0.6414484083652496,0.5431256975446428,0.57421875,0.30029296875,4.1981201171875,1.2286845687964463,,
uvif_full,0,8,0.66796875,False,0.49246253555490926,0.570891335856484,0.5366523364287663,0.6118959784507751,0.46533203125,0.33203125,0.38330078125,4.74267578125,1.0914464265230064,,
uvif_full,0,9,0.484375,False,0.542123407489071,0.576104947293219,0.5330846718948297,0.5969065651297569,0.4953962053571429,0.515625,0.396484375,4.5322265625,1.0928251282447843,,
uvif_full,0,10,0.6640625,False,0.4892440243794476,0.5621297931807214,0.5248519908939134,0.5987849682569504,0.4723074776785714,0.3359375,0.41015625,4.69384765625,1.1521163761098865,,
uvif_full,0,11,0.4921875,False,0.5328301955858075,0.5378642728885442,0.5095112898529417,0.6042442321777344,0.5107421875,0.5078125,0.35595703125,4.4248046875,1.1763518806280184,,
uvif_full,0,-1,,,,,,,,,,,,1.0346251536701903,0.0
uvif_full,1,0,0.640625,False,0.5147148312638994,0.5570428566607946,0.4927094503524878,0.6459867805242538,0.5669991629464286,0.359375,0.406005859375,4.031005859375,1.2472920835731425,,
uvif_full,1,1,0.64453125,False,0.5270140503396209,0.6092046876428193,0.5498414060018366,0.6274808794260025,0.5441371372767857,0.35546875,0.4625244140625,4.1910400390625,1.1388276981317977,,
uvif_full,1,2,0.703125,False,0.512673662222104,0.6664307594538039,0.5949381915394434,0.6254207566380501,0.4810965401785714,0.296875,0.4404296875,4.63232421875,1.056308899086727,,
uvif_full,1,3,0.6796875,False,0.5183977187216908,0.6222823915091734,0.5712296053320274,0.6365271136164665,0.5165666852678572,0.3203125,0.41064453125,4.384033203125,1.0604043264129261,,
uvif_full,1,4,0.55078125,False,0.5519631317723778,0.6171106072141943,0.5705212319534997,0.6303264051675797,0.513916015625,0.44921875,0.41064453125,4.402587890625,1.0695787695519001,,
uvif_full,1,5,0.625,False,0.5590536566732649,0.6154057362736626,0.5589488996930154,0.620143286883831,0.6826695033482143,0.375,0.360595703125,3.2213134765625,1.0626425278043363,,
uvif_full,1,6,0.49609375,False,0.6022050185206314,0.6123754287139664,0.5593256317756556,0.6394051238894463,0.7176513671875,0.50390625,0.3714599609375,2.9764404296875,1.106031275201528,,
uvif_full,1,7,0.37109375,False,0.6303807630444319,0.6056430706215289,0.5551405799420436,0.6592394635081291,0.714111328125,0.62890625,0.4296875,3.001220703125,1.1008504716710912,,
uvif_full,1,8,0.34375,False,0.6493060249255435,0.62520621703742,0.5655194577030608,0.6698209643363953,0.7425885881696428,0.65625,0.4154052734375,2.8018798828125,1.036606347403802,,
uvif_full,1,9,0.48046875,False,0.6146670134246851,0.5970481903955623,0.5384707590259484,0.6746416389942169,0.7786516462053572,0.51953125,0.3916015625,2.5494384765625,1.1219903636879576,,
uvif_full,1,10,0.33984375,False,0.6452575809093347,0.595252206180148,0.5376805807053826,0.6903756819665432,0.766845703125,0.66015625,0.397705078125,2.632080078125,1.0915273758031376,,
uvif_full,1,11,0.37890625,False,0.653460198847421,0.6217329155367852,0.5598463288018144,0.6937888488173485,0.7943987165178572,0.62109375,0.4290771484375,2.439208984375,1.037197319470942,,
uvif_full,1,-1,,,,,,,,,,,,0.9356377849515215,0.0
uvif_full,2,0,0.47265625,False,0.5156949985140976,0.5055601295017388,0.4464022349951854,0.617721326649189,0.4961111886160714,0.52734375,0.3460693359375,4.5272216796875,1.1437236408692253,,
uvif_full,2,1,0.484375,False,0.5291941742339565,0.5430063797892686,0.4792686439863765,0.6323069557547569,0.4891357421875,0.515625,0.375244140625,4.5760498046875,1.1083404762138982,,
uvif_full,2,2,0.47265625,False,0.5331040947221398,0.5116950545084162,0.4531365301529352,0.6434364840388298,0.5472935267857143,0.52734375,0.3760986328125,4.1689453125,1.228118132976445,,
uvif_full,2,3,0.51171875,False,0.5244760973469335,0.5218089528677019,0.46461074407116704,0.6275407820940018,0.5342145647321428,0.48828125,0.37548828125,4.260498046875,1.3732609108654796,,
uvif_full,2,4,0.53515625,False,0.5162107275223117,0.5432499809900377,0.4952195769333906,0.603349082171917,0.4858049665178571,0.46484375,0.370361328125,4.599365234375,1.304007351824269,,
uvif_full,2,5,0.609375,False,0.5072421739369435,0.5897821632299597,0.5394838344785052,0.6018556877970695,0.4489048549107143,0.390625,0.3551025390625,4.857666015625,1.2070305563259744,,
uvif_full,2,6,0.609375,False,0.5161453343281571,0.6048509170666377,0.5511060159973032,0.6074022725224495,0.4631696428571429,0.390625,0.3687744140625,4.7578125,1.1505862767113133,,
uvif_full,2,7,0.5234375,False,0.5476701941655786,0.6198636091860488,0.5540774529854895,0.6104259416460991,0.4931466238839286,0.4765625,0.384033203125,4.5479736328125,1.1113147232943608,,
uvif_full,2,8,0.54296875,False,0.5360573581526064,0.5973930059586059,0.5335917127415272,0.5848887413740158,0.5194789341517857,0.45703125,0.4149169921875,4.3636474609375,1.1337546587586542,,
uvif_full,2,9,0.5078125,False,0.5407074458253032,0.5656850265087692,0.5062080352523216,0.5838867872953415,0.5616280691964286,0.4921875,0.374755859375,4.068603515625,1.225765272309102,,
uvif_full,2,10,0.47265625,False,0.5560146046148415,0.5763731714477974,0.517295236802371,0.5875970646739006,0.5751953125,0.52734375,0.4107666015625,3.9736328125,1.1812022519365388,,
uvif_full,2,11,0.4140625,False,0.5663376431571876,0.5710327934682781,0.5139070327355592,0.5784054324030876,0.5857979910714286,0.5859375,0.37255859375,3.8994140625,1.2402742513923979,,
uvif_full,2,-1,,,,,,,,,,,,0.9967043303019105,0.0
uvif_full,3,0,0.44140625,False,0.5556134098099097,0.5400186015371361,0.5065717483608859,0.6938945353031158,0.4993722098214286,0.55859375,0.2991943359375,4.50439453125,0.9596401078537805,,
uvif_full,3,1,0.7265625,False,0.4511931261131453,0.4903589446387953,0.4645969471532185,0.6443608775734901,0.4658377511160714,0.2734375,0.2674560546875,4.7391357421875,0.9288427595537068,,
uvif_full,3,2,0.6796875,False,0.49119175611833427,0.5485357026709926,0.5268485859838316,0.62079256772995,0.49755859375,0.3203125,0.3438720703125,4.51708984375,0.9660663131469417,,
uvif_full,3,3,0.46875,False,0.5433710369554697,0.5574037497045976,0.5267788438015412,0.620872363448143,0.4890834263392857,0.53125,0.322021484375,4.576416015625,0.9837545757663231,,
uvif_full,3,4,0.53125,False,0.5498575674729244,0.5853209648171438,0.5498475980492492,0.5986410230398178,0.5565534319196428,0.46875,0.3682861328125,4.1041259765625,0.9867204553638779,,
uvif_full,3,5,0.546875,False,0.5388063210510409,0.527456183975076,0.4810904937932765,0.5947346836328506,0.6640625,0.453125,0.3660888671875,3.3515625,1.179510298887296,,
uvif_full,3,6,0.3046875,False,0.5639334826014373,0.4694809017005212,0.43365036813448476,0.601169191300869,0.6702008928571428,0.6953125,0.3192138671875,3.30859375,1.1959835966284547,,
uvif_full,3,7,0.6015625,False,0.5184297894758775,0.5151305516369635,0.4842321802467303,0.570934884250164,0.6599818638392857,0.3984375,0.3048095703125,3.380126953125,1.31380302495944,,
uvif_full,3,8,0.64453125,False,0.5048130939977785,0.5126330377696513,0.4788575882340931,0.5403429865837097,0.6952950613839286,0.35546875,0.2945556640625,3.1329345703125,1.3241923488023697,,
uvif_full,3,9,0.65625,False,0.49797471188214565,0.5181383792956772,0.4749678579542002,0.5061778649687767,0.7151227678571428,0.34375,0.331787109375,2.994140625,1.3365603353680977,,
uvif_full,3,10,0.57421875,False,0.5426618898948716,0.5823049383798184,0.541092796240237,0.5065159723162651,0.6925397600446428,0.42578125,0.403076171875,3.1522216796875,1.1562386621409446,,
uvif_full,3,11,0.796875,False,0.45524675313410606,0.5884599106551274,0.5403021265973253,0.4909575581550598,0.61669921875,0.203125,0.3770751953125,3.68310546875,1.0664075463315956,,
uvif_full,3,-1,,,,,,,,,,,,1.0194696833718342,0.0
uvif_full,4,0,0.3984375,False,0.5397923402323126,0.49688334029567727,0.4602186031309826,0.6550959348678589,0.508544921875,0.6015625,0.310302734375,4.440185546875,1.3192001803400775,,
uvif_full,4,1,0.390625,False,0.5455607167759463,0.502830365081736,0.46404463440719734,0.6357607841491699,0.5346330915178572,0.609375,0.3375244140625,4.257568359375,1.3569636356645756,,
uvif_full,4,2,0.625,False,0.5041281621856508,0.5634849626618181,0.5264565781044673,0.6344907209277153,0.4613211495535714,0.375,0.35009765625,4.770751953125,1.1758705879459954,,
uvif_full,4,3,0.7109375,False,0.4841419863941765,0.5308527491704229,0.47902334320693835,0.6204189211130142,0.583251953125,0.2890625,0.3446044921875,3.917236328125,1.3250294470380894,,
uvif_full,4,4,0.8046875,False,0.43776642243277153,0.4275515564418204,0.3763795310157703,0.5794849097728729,0.8827253069196429,0.1953125,0.2864990234375,1.8209228515625,1.4794638091828343,,
uvif_full,4,5,0.60546875,False,0.538192357300779,0.5020768910509396,0.4433860184036632,0.5771870762109756,0.8907121930803571,0.39453125,0.3304443359375,1.7650146484375,1.2831995697441718,,
uvif_full,4,6,0.59375,False,0.543559176002513,0.513922265411021,0.44661273751792396,0.5735936611890793,0.8871721540178571,0.40625,0.3131103515625,1.789794921875,1.289795832600879,,
uvif_full,4,7,0.55859375,False,0.5476802021159455,0.506085696174816,0.43480865241196537,0.5636420324444771,0.9000592912946429,0.44140625,0.319091796875,1.6995849609375,1.3120331387138493,,
uvif_full,4,8,0.65234375,False,0.5469091705883331,0.5666526434512628,0.49812652975997596,0.5654559507966042,0.8818010602678571,0.34765625,0.3619384765625,1.827392578125,1.1672987144024998,,
uvif_full,4,9,0.71484375,False,0.5180609233495707,0.5663130390339978,0.5151476096611922,0.5655138790607452,0.793212890625,0.28515625,0.3865966796875,2.447509765625,1.169688700153854,,
uvif_full,4,10,0.45703125,False,0.6053431458435756,0.6093385549304289,0.5598617362963654,0.5888824760913849,0.7451869419642857,0.54296875,0.4276123046875,2.78369140625,1.1012194956423849,,
uvif_full,4,11,0.5234375,False,0.6002150987999059,0.6058146585471249,0.5414326935449159,0.6038993075489998,0.8252127511160714,0.4765625,0.4012451171875,2.2235107421875,0.9810211625941762,,
uvif_full,4,-1,,,,,,,,,,,,1.0134109963349487,0.0
