condition,Q_E,Q_P,Q_C,Q_F,Q_S,ULVI,viable,acc_clean,mean_len,zipf_alpha_mle,heaps_beta,abbrev_rho_spearman,frontier_slack
generic_sum,0.24352677313083984,0.2334440354042115,0.9289809537585825,0.8303606305803571,0.24427554613058686,0.36296119563248447,0.0,0.158935546875,2.1874755859375,0.9665677246970867,0.021428399753617933,-0.2075606583889442,2.1874755859375
least_effort,0.3599209935477543,0.31271130383939616,0.23213908076286316,0.7577671595982143,0.35828155346577034,0.3414943449767204,0.0,0.2646240234375,2.6956298828125,1.4553855027482103,0.38841007357616597,-0.29964551862172667,2.495987145822877
random,0.0005302701235283922,0.0005466030585410169,0.5560896545648575,0.3582903180803571,0.0003138689865143067,0.0010649588470219933,0.0,0.09228515625,5.4919677734375,0.5915281607145502,0.9575745031142857,-0.4165677313590341,5.4919677734375
task_only,0.689401462729889,0.5325262261502302,0.17383606731891632,0.03848702566964286,0.6857687584747421,0.22204797423435294,0.0,0.5183837890625,7.7305908203125,1.1704657442162245,0.6032734169584696,-0.012158781844214959,6.770823983200796
uvif_full,0.5491354455003455,0.504845283342636,0.648151583969593,0.46627720424107144,0.5515782911077632,0.5403052354375536,0.0,0.3597412109375,4.7360595703125,1.132353397193885,0.3206831074254195,-0.17401254850124856,4.317296069493983
