condition,seed,Q_E,Q_P,Q_C,Q_F,Q_S,ULVI,viable,acc_clean,eps,mean_len,fano_L_min,C_eta,frontier_slack,mean_abs_w,sparsity_cutoff,n_params,zipf_alpha_ols,zipf_alpha_mle,zipf_ks,zipf_n_types,heaps_beta,abbrev_rho_spearman,abbrev_tau_kendall,mean_length,signal_entropy_bits,ratio,lambda_eff
uvif_full,0,0.6410329918857296,0.5810367230604091,0.7160598821938038,0.4050118582589286,0.6417336664200466,0.5863692318806405,False,0.4132080078125,0.5867919921875,5.1649169921875,0.5904633317486038,2.250268914204958,4.574453660438897,0.05678802356123924,0.47772425413131714,26576,2.133785411696723,0.9962161456052827,0.12578649635830064,66,0.25468202465545214,-0.15412567345067682,-0.12324252305529314,5.1649169921875,4.679279404336577,0.125,0.17328679513998632
uvif_full,1,0.5804610168512857,0.5363500435169873,0.7047420591115952,0.3734828404017857,0.5734941494741966,0.5425131166925724,False,0.3426513671875,0.6573486328125,5.3856201171875,0.362386709074934,2.250268914204958,5.023233408112566,0.05905158817768097,0.4435957074165344,26576,2.2815935797155213,0.9788805863483628,0.11766436721097262,45,0.219347065287809,-0.2478784465745824,-0.19343841895597086,5.3856201171875,4.334246034666695,0.125,0.17328679513998632
uvif_full,2,0.6197477362823015,0.562560250615689,0.7026918269693851,0.3776332310267857,0.6201279331654405,0.5645989660860722,False,0.441650390625,0.558349609375,5.3565673828125,0.6861758935148493,2.250268914204958,4.670391489297651,0.05946163460612297,0.4109346866607666,26576,2.105091425384096,0.9284652050988184,0.13182023605971227,61,0.2677439125045272,0.016047138671563214,0.02023236125434561,5.3565673828125,4.7556510729848736,0.125,0.17328679513998632
uvif_full,3,0.49602625106838005,0.456485063569671,0.6218067035079002,0.3551897321428571,0.5077979968886732,0.4796755737962355,False,0.3133544921875,0.6866455078125,5.513671875,0.2717824127480395,2.250268914204958,5.241889462251961,0.07563865929841995,0.23615294694900513,26576,2.2480975427479484,1.2842088149075812,0.1218740845733936,78,0.32488487895363266,-0.2510676082899718,-0.19871534161104606,5.513671875,4.009782766949709,0.125,0.17328679513998632
uvif_full,4,0.5775491902656783,0.5325707583311144,0.6432864293456078,0.4227120535714286,0.5747338458993506,0.5449747969752831,False,0.35400390625,0.64599609375,5.041015625,0.3981586030672654,2.250268914204958,4.642857021932735,0.07134271413087845,0.36619508266448975,26576,2.3731547077054107,1.1568268020735735,0.0995199552572289,70,0.2785352234361306,-0.25464598067650307,-0.22468954402158556,5.041015625,4.323433485463688,0.125,0.17328679513998632
uvif_full,0,0.6217043674032335,0.5639245012113047,0.6881179511547089,0.4208635602678571,0.6315661730804042,0.5773053618585866,False,0.41015625,0.58984375,5.053955078125,0.5803201121922908,2.250268914204958,4.4736349659327095,0.06237640976905823,0.4048389792442322,26576,2.1404434154470255,1.0091684053362018,0.13015754168814453,79,0.30183922023219983,-0.11361026544285621,-0.0850237705317985,5.053955078125,4.809385816000925,0.25,0.34657359027997264
uvif_full,1,0.5660179942723396,0.526234955966942,0.6874440461397171,0.3715471540178571,0.5692242225163998,0.5337143988486069,False,0.3233642578125,0.6766357421875,5.399169921875,0.30245735200559765,2.250268914204958,5.0967125698694025,0.06251119077205658,0.39610928297042847,26576,2.099470043342267,1.0538456048189702,0.09731932503017637,54,0.26122799543179553,0.0005991870681632128,-0.008348415694337972,5.399169921875,4.411905495272805,0.25,0.34657359027997264
uvif_full,2,0.6577081516689116,0.599845214485063,0.724473487585783,0.4428885323660714,0.6814595595907337,0.6125843376172945,False,0.4169921875,0.5830078125,4.8997802734375,0.603075118414104,2.250268914204958,4.296705155023396,0.0551053024828434,0.48351895809173584,26576,2.050399379597177,1.005838323894986,0.11505089769606025,108,0.3630809657207891,-0.14736558747270562,-0.1082297990374145,4.8997802734375,5.174616835873486,0.25,0.34657359027997264
uvif_full,3,0.48887037040135334,0.4714307708688259,0.7152257710695267,0.3924734933035714,0.4876688339607805,0.5009542043473237,False,0.2794189453125,0.7205810546875,5.252685546875,0.17004219027320347,2.250268914204958,5.082643356601796,0.056954845786094666,0.4574428200721741,26576,2.656631521156406,1.1400681610876449,0.14369336900055063,36,0.24890813036800438,0.04560528312127651,0.047129678349770575,5.252685546875,3.6835520239200865,0.25,0.34657359027997264
uvif_full,4,0.577122637176898,0.5169020129925299,0.590102918446064,0.4072440011160714,0.5860227654328203,0.5304868901845761,False,0.40673828125,0.59326171875,5.1492919921875,0.5689890098758174,2.250268914204958,4.580302982311682,0.0819794163107872,0.2111303210258484,26576,1.818075880261071,1.1952695176581751,0.10899030963388695,218,0.4806396597433376,-0.14347733958062747,-0.12032239012367084,5.1492919921875,5.060302428296978,0.25,0.34657359027997264
uvif_full,0,0.6003762363864427,0.5580404773588101,0.7260531969368458,0.4449637276785714,0.6027041978137878,0.5792916822725257,False,0.385498046875,0.614501953125,4.88525390625,0.49927349249218905,2.250268914204958,4.385980413757811,0.054789360612630844,0.49623721837997437,26576,2.3079223959992334,0.8730301996144226,0.14589797209296596,41,0.18137762572255317,-0.003537414002197135,-0.006633446995030942,4.88525390625,4.391302571453883,0.5,0.6931471805599453
uvif_full,1,0.5370071779141924,0.5017972879095264,0.6951541118323803,0.3885846819196429,0.5401695295214161,0.523505261699971,False,0.318359375,0.681640625,5.2799072265625,0.2870828792625819,2.250268914204958,4.992824347299918,0.06096917763352394,0.4287703037261963,26576,2.4377288805689172,1.1031787665934174,0.10483959647601315,47,0.21731519032867713,-0.11517561956908398,-0.10141081167505628,5.2799072265625,4.119039997513219,0.5,0.6931471805599453
uvif_full,2,0.4803009562821799,0.4432716748667498,0.6099263429641724,0.3981061662946429,0.48035532465092534,0.4775341857610891,False,0.27783203125,0.72216796875,5.2132568359375,0.1653723329627296,2.250268914204958,5.04788450297477,0.07801473140716553,0.2660294771194458,26576,2.521293706354967,1.2470026156865395,0.12190232509685395,56,0.3228091070858681,-0.10478130953139328,-0.08019162848397308,5.2132568359375,3.847313393605449,0.5,0.6931471805599453
uvif_full,3,0.46117041358794075,0.43091798727819325,0.6260926872491837,0.428466796875,0.47923129239483303,0.4802544597578252,False,0.236083984375,0.763916015625,5.000732421875,0.04550404037441257,2.250268914204958,4.9552283815005875,0.07478146255016327,0.20176100730895996,26576,2.3580878786287913,1.3404406497664823,0.1373741137691632,86,0.38015761680009996,-0.16703905404240277,-0.13301042588637893,5.000732421875,3.806610005856868,0.5,0.6931471805599453
uvif_full,4,0.48045325413773887,0.4526956607880453,0.6532934531569481,0.4087785993303571,0.4776772063186998,0.4882448704890921,False,0.300048828125,0.699951171875,5.1385498046875,0.23147034660541127,2.250268914204958,4.907079458082089,0.06934130936861038,0.33816224336624146,26576,2.6221550796635227,1.1491863665799533,0.13310346877596613,35,0.2347648325961488,-0.19242987173751064,-0.13159179836891344,5.1385498046875,3.679686226664921,0.5,0.6931471805599453
uvif_full,0,0.584326763429428,0.5509150729378895,0.6836134046316147,0.4760916573660714,0.5872280377101502,0.5725450595527618,False,0.3922119140625,0.6077880859375,4.6673583984375,0.5211791487207711,2.250268914204958,4.146179249716729,0.06327731907367706,0.3935505747795105,26576,2.3583837929056033,0.982051431955065,0.15263134989264104,54,0.25772495383912125,-0.19689806277006217,-0.15309333137845074,4.6673583984375,4.427216773929443,1.0,1.3862943611198906
uvif_full,1,0.5664933599757779,0.5098277282676763,0.6247531101107597,0.5023193359375,0.56893979261287,0.5526810598032094,False,0.411865234375,0.588134765625,4.4837646484375,0.5859972780489086,2.250268914204958,3.8977673703885913,0.07504937797784805,0.3026791214942932,26576,1.6552483149475101,1.3257695517869093,0.06297807452544835,242,0.5311107162947624,0.026043118311690597,0.023822694624172407,4.4837646484375,4.616175577385642,1.0,1.3862943611198906
