condition,seed,generation,drift,viable,ULVI,Q_E,Q_P,Q_C,Q_F,Q_S,acc_clean,mean_len,alpha,rho_estimate,first_nonviable_generation
least_effort,0,0,0.55859375,False,0.3707519691524994,0.3974005958271954,0.34093208535139985,0.1518601030111313,0.7713274274553572,0.44140625,0.2774658203125,2.6007080078125,1.5779976537689064,,
least_effort,0,1,0.3359375,False,0.3691272345289353,0.314946407833057,0.25484564510482566,0.12916094064712524,0.9954659598214286,0.6640625,0.1689453125,1.03173828125,1.428027931065213,,
least_effort,0,2,0.6640625,False,0.2459239474283003,0.18746431396589608,0.1449437854153534,0.09854508936405182,0.9999825613839286,0.3359375,0.0916748046875,1.0001220703125,2.1395821527467533,,
least_effort,0,3,0.3125,False,0.29118741482305593,0.24469135144618687,0.19419239276753752,0.06408250331878662,1.0,0.6875,0.112548828125,1.0,1.4510155797754354,,
least_effort,0,4,0.41796875,False,0.22739941135078043,0.21254331918813874,0.16403361063438165,0.029965922236442566,0.9999825613839286,0.58203125,0.1572265625,1.0001220703125,1.6142661196462054,,
least_effort,0,5,0.3125,False,0.0,0.1961313174394431,0.15403865847642373,0.0,1.0,0.6875,0.1571044921875,1.0,1.7889460011091076,,
least_effort,0,6,0.2109375,False,0.0,0.08794581422273035,0.07344127245235343,0.0,1.0,0.7890625,0.003662109375,1.0,,,
least_effort,0,7,0.25390625,False,0.0,0.13438076764722032,0.10887534450115899,0.0,1.0,0.74609375,0.104736328125,1.0,,,
least_effort,0,8,0.296875,False,0.0,0.15022711371436825,0.12039299246977679,0.0,1.0,0.703125,0.1285400390625,1.0,2.5754185612461082,,
least_effort,0,9,0.3984375,False,0.0,0.1359153746029991,0.1144790121176102,0.0,1.0,0.6015625,0.119140625,1.0,,,
least_effort,0,10,0.4453125,False,0.0,0.11082591882497912,0.09059647209565808,0.0,1.0,0.5546875,0.126220703125,1.0,,,
least_effort,0,11,0.38671875,False,0.0,0.09552379738016706,0.08127504721808078,0.0,1.0,0.61328125,0.1014404296875,1.0,,,
least_effort,0,-1,,,,,,,,,,,,0.9750408000057602,0.0
least_effort,1,0,0.00390625,False,0.0,0.0,0.000905079094209437,0.24015909433364868,1.0,0.99609375,0.0927734375,1.0,,,
least_effort,1,1,0.03125,False,0.20640816560462447,0.05123656902770399,0.037302542616571954,0.202350452542305,1.0,0.96875,0.1331787109375,1.0,,,
least_effort,1,2,0.0546875,False,0.20295717570128702,0.05921709745292729,0.03652016358086715,0.16844837367534637,1.0,0.9453125,0.1324462890625,1.0,3.2999942130745925,,
least_effort,1,3,0.08984375,False,0.24826050668484412,0.10607478042873207,0.08353370648730048,0.11693602800369263,1.0,0.91015625,0.100341796875,1.0,,,
least_effort,1,4,0.0546875,False,0.1917345233841102,0.06606236900476148,0.04661858943108879,0.08900469541549683,1.0,0.9453125,0.0653076171875,1.0,,,
least_effort,1,5,0.01953125,False,0.0287391191461232,0.00012774289904284928,0.0022543438661694662,0.06943470239639282,1.0,0.98046875,0.0928955078125,1.0,,,
least_effort,1,6,0.0,False,0.0,0.0,0.00645226654429461,0.05816853046417236,1.0,1.0,0.0927734375,1.0,,,
least_effort,1,7,0.0,False,0.0,0.0,0.0025487477282859572,0.04167339205741882,1.0,1.0,0.0927734375,1.0,,,
least_effort,1,8,1.0,False,0.0,0.0,0.0009356024389967838,0.0,1.0,0.0,0.0927734375,1.0,,,
least_effort,1,9,0.94921875,False,0.0,0.056110463379968355,0.03470976320598072,0.0,1.0,0.05078125,0.1331787109375,1.0,3.2999942130745925,,
least_effort,1,10,0.94921875,False,0.0,0.0,0.0,0.0,1.0,0.05078125,0.0927734375,1.0,,,
least_effort,1,11,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0927734375,1.0,,,
