condition,seed,Q_E,Q_P,Q_C,Q_F,Q_S,ULVI,viable,acc_clean,eps,mean_len,fano_L_min,C_eta,frontier_slack,mean_abs_w,sparsity_cutoff,n_params,zipf_alpha_ols,zipf_alpha_mle,zipf_ks,zipf_n_types,heaps_beta,abbrev_rho_spearman,abbrev_tau_kendall,mean_length,signal_entropy_bits,ablated
uvif_full,0,0.0,0.0,0.9906639195978642,1.0,0.0,0.0,False,0.0880126953125,0.9119873046875,1.0,0.0,2.250268914204958,1.0,0.0018672160804271698,0.9612808562815189,26576,,,,1,0.0,,,1.0,-0.0,E
uvif_full,1,0.0,0.0,0.9905822862638161,1.0,0.0,0.0,False,0.0927734375,0.9072265625,1.0,0.0,2.250268914204958,1.0,0.0018835427472367883,0.9622968100011349,26576,,,,1,0.0,,,1.0,-0.0,E
uvif_full,2,0.0,0.0,0.9903627089224756,1.0,0.0,0.0,False,0.09814453125,0.90185546875,1.0,0.0,2.250268914204958,1.0,0.0019274582155048847,0.9601520150899887,26576,,,,1,0.0,,,1.0,-0.0,E
uvif_full,3,0.0,0.0,0.9904711486306041,1.0,0.0,0.0,False,0.0904541015625,0.9095458984375,1.0,0.0,2.250268914204958,1.0,0.0019057702738791704,0.9626730866730213,26576,,,,2,0.019227166199718888,,,1.0,0.001763013547630436,E
uvif_full,4,0.0,0.0,0.9914341437397525,1.0,0.0,0.0,False,0.0927734375,0.9072265625,1.0,0.0,2.250268914204958,1.0,0.0017131712520495057,0.9656833223998547,26576,,,,1,0.0,,,1.0,-0.0,E
uvif_full,0,0.5964634336157898,0.5236166365940818,0.6891336888074875,0.4607979910714286,0.5940099514418836,0.5675981980065714,False,0.3751220703125,0.6248779296875,4.7744140625,0.4656595529962909,2.250268914204958,4.308754509503709,0.0621732622385025,0.416315495967865,26576,1.8614450289072009,0.7345809557223801,0.12504631893993534,34,0.15845058290893438,-0.021223203639422723,-0.01898315991504998,4.7744140625,4.442095664912195,P
uvif_full,1,0.5347293330463201,0.4814633794191085,0.7014562040567398,0.4138357979910714,0.5331390351582603,0.5248960121370988,False,0.3189697265625,0.6810302734375,5.1031494140625,0.2889538651014036,2.250268914204958,4.814195548961097,0.05970875918865204,0.4350917935371399,26576,2.3134125398232146,1.049298898055305,0.12126690381603888,39,0.2241598876532144,-0.023788165259637516,-0.029121492609334353,5.1031494140625,4.042875418653862,P
uvif_full,2,0.5944897317658184,0.5442385284427719,0.6943973191082478,0.4953264508928571,0.5962542517268612,0.5812633455478365,False,0.39794921875,0.60205078125,4.53271484375,0.5399946219460843,2.250268914204958,3.992720221803916,0.06112053617835045,0.4496914744377136,26576,2.308857904660597,0.9220671534469805,0.16096462929122302,51,0.24864897610938555,-0.08979059995106,-0.07026478542449179,4.53271484375,4.4995526632041845,P
uvif_full,3,0.548667960100612,0.4996764259214673,0.6957206539809704,0.5386614118303572,0.5393418331924692,0.5606898132403867,False,0.3416748046875,0.6583251953125,4.2293701171875,0.3593266115992645,2.250268914204958,3.8700435055882356,0.06085586920380592,0.34565019607543945,26576,2.4341936540783053,1.0082096683460995,0.1787541511017865,64,0.2882005475858723,-0.23298154737693352,-0.19435338811548172,4.2293701171875,4.427367351759389,P
uvif_full,4,0.5013090309192773,0.45065388173541826,0.700303990393877,0.4610246930803571,0.5002046092987635,0.515728847438349,False,0.2977294921875,0.7022705078125,4.7728271484375,0.22449841231159512,2.250268914204958,4.548328736125905,0.059939201921224594,0.4053657650947571,26576,2.53266066148276,1.3138627325282577,0.09937275511905463,60,0.30326947544522015,-0.31018697616187424,-0.256813333676125,4.7728271484375,3.755569229379203,P
uvif_full,0,0.41515069375189506,0.38438951851914116,0.26165156066417694,0.3831787109375,0.436068583713204,0.3704515030079691,False,0.2913818359375,0.7086181640625,5.3177490234375,0.20550189808587827,2.250268914204958,5.1122471253516215,0.1476696878671646,0.004214346408843994,26576,1.9566121489433201,1.5072482176200908,0.020361614220863244,87,0.36032291886062645,-0.07467210652477413,-0.05388494332415526,5.3177490234375,3.5154817899575517,C
uvif_full,1,0.4742043277019816,0.43259673679954097,0.31518368422985077,0.48974609375,0.4703648178501681,0.4311254474984897,False,0.3453369140625,0.6546630859375,4.57177734375,0.3708159627844656,2.250268914204958,4.200961380965534,0.13696326315402985,0.004214346408843994,26576,2.1269662850525406,1.4770002412924406,0.05008780906538224,104,0.4059188073481192,-0.027837690083003987,-0.018958786271169616,4.57177734375,3.6230560257272897,C
uvif_full,2,0.4078023137754724,0.38863035098349397,0.2552228271961212,0.3396344866071429,0.406460356715664,0.35431307435938664,False,0.2557373046875,0.7442626953125,5.62255859375,0.10120283162566256,2.250268914204958,5.521355762124338,0.14895543456077576,0.004402458667755127,26576,2.531203463259267,1.3224572040171905,0.18015353194567263,49,0.3198300920493423,-0.002144670853008255,-0.020011819993977952,5.62255859375,3.316137062196026,C
uvif_full,3,0.5648978201437185,0.5305977416637551,0.2922411113977432,0.4544503348214286,0.5630258861428419,0.467841000265584,False,0.3111572265625,0.6888427734375,4.81884765625,0.2650886739242463,2.250268914204958,4.553758982325753,0.14155177772045135,0.004327237606048584,26576,2.25452660733393,1.1410196641662864,0.10634819450430988,56,0.2899796120529854,-0.07261082067404936,-0.041008129908226255,4.81884765625,4.179341515248274,C
uvif_full,4,0.4388353344963465,0.3936109605520731,0.3470490723848343,0.5957903180803572,0.4357919955076239,0.43493711576934824,False,0.2689208984375,0.7310791015625,3.8294677734375,0.1392995752349556,2.250268914204958,3.6901681982025445,0.13059018552303314,0.004214346408843994,26576,2.6882141559628576,1.3054545658219672,0.12415933282964764,46,0.26215453580539255,-0.15506451938759036,-0.1312817955276003,3.8294677734375,3.5338898325734034,C
uvif_full,0,0.6095553898778979,0.5547632067965654,0.6296906471252441,0.4228864397321429,0.5984349234974468,0.5575678855425154,False,0.445068359375,0.554931640625,5.039794921875,0.697820026482709,2.250268914204958,4.3419748953922905,0.07406187057495117,0.3416993021965027,26576,2.0703586898305346,1.0618695835936205,0.1160572018834728,102,0.3249825568195105,-0.10034695839297417,-0.07826609081628545,5.039794921875,4.934029114223613,F
uvif_full,1,0.4725774179834289,0.43276540625241966,0.6992339752614498,0.4030238560267857,0.4828037295712052,0.4885284709089527,False,0.275634765625,0.724365234375,5.1788330078125,0.1589196672165726,2.250268914204958,5.019913340595927,0.06015320494771004,0.3331577181816101,26576,2.358620638395733,1.2897351715412786,0.13397525483537637,79,0.30624647220863077,-0.29400732326984924,-0.2389581038489753,5.1788330078125,3.905505206148536,F
uvif_full,2,0.6303701301818924,0.5697502967746697,0.7369769588112831,0.3883928571428571,0.6453945411622981,0.5812542262967965,False,0.4189453125,0.5810546875,5.28125,0.6095992095631093,2.250268914204958,4.671650790436891,0.05260460823774338,0.5255493819713593,26576,1.9808328927295475,0.9879360035463628,0.10549699490216913,66,0.30205626623949544,-0.10555130176719116,-0.08755973447450074,5.28125,4.750796658718455,F
uvif_full,3,0.5208008386495164,0.4957954711967165,0.6680185943841934,0.4151436941964286,0.5194825024227372,0.5177336946397257,False,0.29541015625,0.70458984375,5.093994140625,0.21754297271946932,2.250268914204958,4.876451167905531,0.06639628112316132,0.3643512725830078,26576,2.634046135678783,1.0626997700554803,0.12181110350874724,40,0.19422249163917932,-0.36106736492442565,-0.2927625677306279,5.093994140625,4.008534422737389,F
uvif_full,4,0.5547593725254084,0.5076061703274066,0.628833644092083,0.3692975725446429,0.5466935757131729,0.5136384736680384,False,0.395263671875,0.604736328125,5.4149169921875,0.5311763868385966,2.250268914204958,4.883740605348903,0.0742332711815834,0.3233368396759033,26576,1.9562451366164775,1.2156096925246658,0.10109781235055082,170,0.42586008688302596,-0.054961417800913494,-0.045467531195796204,5.4149169921875,4.806677053699392,F
uvif_full,0,0.4707103591494777,0.431576305434623,0.5958555862307549,0.4451381138392857,0.4771358060401897,0.4808590907293062,False,0.310791015625,0.689208984375,4.884033203125,0.263974453296356,2.250268914204958,4.620058749828644,0.08082888275384903,0.23445963859558105,26576,2.0985836305630188,1.2635340965133883,0.13820812604035393,128,0.3961875199434651,-0.144525420071873,-0.11494065753187367,4.884033203125,4.2840113532399915,S
uvif_full,1,0.5795628329554289,0.5387514490171739,0.7133200615644455,0.4441964285714286,0.5758569507194163,0.5638097973786191,False,0.327880859375,0.672119140625,4.890625,0.31639490013694105,2.250268914204958,4.574230099863059,0.0573359876871109,0.46967190504074097,26576,2.2438858323839073,1.1286644633506795,0.12263291025536915,88,0.31804405113185713,-0.1742145942458912,-0.13570582156002,4.890625,4.570015056951524,S
uvif_full,2,0.5649227912103038,0.5047280417310657,0.6414422616362572,0.6853376116071428,0.5629223889584629,0.5884525346607443,False,0.4039306640625,0.5960693359375,3.20263671875,0.5597045354673164,2.250268914204958,2.6429321832826838,0.07171154767274857,0.30572694540023804,26576,1.4892827049475252,1.1688211355388372,0.11150772796608,414,0.5719479315807071,-0.289465848337799,-0.23419180528248817,3.20263671875,5.642648791261642,S
uvif_full,3,0.5559231015521052,0.519481946001864,0.6497086435556412,0.4602225167410714,0.5595793193355592,0.5455400871354658,False,0.3525390625,0.6474609375,4.7784423828125,0.3935224580854279,2.250268914204958,4.384919924727072,0.07005827128887177,0.3748871088027954,26576,1.638952889748539,1.283767833981092,0.13382683733673845,253,0.45664189386152826,-0.43922937680830426,-0.39598399226062847,4.7784423828125,4.613332190805176,S
