seed,direction,w_F,mean_len,Q_E
0,up,0.25,5.2264404296875,0.6086409471875237
0,up,0.5,5.234619140625,0.6078419029983706
0,up,1.0,3.2303466796875,0.38931228614163266
0,up,2.0,3.8929443359375,0.49943859536739327
0,up,4.0,3.5108642578125,0.4549114959053745
0,up,8.0,3.237060546875,0.4157530588322497
0,down,8.0,2.8720703125,0.3775185618846517
0,down,4.0,2.9052734375,0.4345604384479098
0,down,2.0,2.8580322265625,0.4226355693421481
0,down,1.0,3.0775146484375,0.46513317489230677
0,down,0.5,3.020751953125,0.4955937256181527
0,down,0.25,3.1761474609375,0.499402673390059
0,loop_area,,5.30023193359375,
1,up,0.25,5.4296875,0.5090439655647274
1,up,0.5,5.1978759765625,0.557437661571931
1,up,1.0,4.7103271484375,0.577322362783914
1,up,2.0,5.1090087890625,0.5277678986285704
1,up,4.0,3.7371826171875,0.5199203963573515
1,up,8.0,3.1856689453125,0.4466284989399506
1,down,8.0,3.126220703125,0.4354120747920103
1,down,4.0,3.2030029296875,0.4556754792904293
1,down,2.0,3.1953125,0.4885701744748547
1,down,1.0,4.141357421875,0.5241963337207307
1,down,0.5,4.0906982421875,0.5755664646001091
1,down,0.25,4.0927734375,0.5550258663460562
1,loop_area,,5.60101318359375,
2,up,0.25,5.2205810546875,0.6252283234572221
2,up,0.5,5.0628662109375,0.6185744072930146
2,up,1.0,4.609619140625,0.5724251239728394
2,up,2.0,3.906982421875,0.5262636961592471
2,up,4.0,3.3885498046875,0.5079092206982815
2,up,8.0,2.091552734375,0.3854698510025303
2,down,8.0,1.8585205078125,0.4415417652197718
2,down,4.0,1.933349609375,0.4868601405917013
2,down,2.0,2.816162109375,0.6059517797887433
2,down,1.0,3.091796875,0.6416153048736732
2,down,0.5,3.0804443359375,0.6509334535085808
2,down,0.25,3.14111328125,0.6784079773996203
2,loop_area,,8.609603881835938,
